"column_label","ran.hdr.name","piPless.minus.piMalle.min"
"10","ran10.hdr.8",-0.000785899999999999
"10","ran10.hdr.9",-0.000317000000000001
"11","ran11.hdr.1",-0.00228792
"11","ran11.hdr.10",-0.0013623
"11","ran11.hdr.11",-0.0040702
"11","ran11.hdr.12",-0.0011979
"11","ran11.hdr.13",-0.0015477
"11","ran11.hdr.14",-0.0007442
"11","ran11.hdr.15",-0.0007723
"11","ran11.hdr.16",-0.0031303
"11","ran11.hdr.17",-0.00171315
"11","ran11.hdr.18",-0.0024343
"11","ran11.hdr.19",-0.0010371
"11","ran11.hdr.2",-0.0013052
"11","ran11.hdr.20",-0.001632
"11","ran11.hdr.21",-0.000697799999999998
"11","ran11.hdr.22",-0.0008769
"11","ran11.hdr.23",-0.000418399999999999
"11","ran11.hdr.24",-0.0023678
"11","ran11.hdr.25",-0.0006351
"11","ran11.hdr.26",-0.001222
"11","ran11.hdr.27",-0.0015061
"11","ran11.hdr.28",-0.0033653
"11","ran11.hdr.29",-0.00226172
"11","ran11.hdr.3",-0.0011595
"11","ran11.hdr.30",-0.0024008
"11","ran11.hdr.31",-0.0012894
"11","ran11.hdr.32",-0.0021211
"11","ran11.hdr.33",-0.00104466
"11","ran11.hdr.34",-0.000704
"11","ran11.hdr.35",-0.000703299999999999
"11","ran11.hdr.36",-0.000844399999999999
"11","ran11.hdr.37",-0.000976500000000002
"11","ran11.hdr.38",-0.000977200000000001
"11","ran11.hdr.39",-0.0020952
"11","ran11.hdr.4",-0.00276278
"11","ran11.hdr.40",-0.000814599999999999
"11","ran11.hdr.41",-0.01272689
"11","ran11.hdr.42",-0.00238785
"11","ran11.hdr.43",-0.0018099
"11","ran11.hdr.44",-0.0012395
"11","ran11.hdr.45",-0.0025314
"11","ran11.hdr.46",-0.0019272
"11","ran11.hdr.47",-0.0010618
"11","ran11.hdr.48",-0.00049582
"11","ran11.hdr.49",-0.0012825
"11","ran11.hdr.5",-0.00252144
"11","ran11.hdr.50",-0.00415889
"11","ran11.hdr.51",-0.0040768
"11","ran11.hdr.52",-0.00130681
"11","ran11.hdr.53",-0.002294
"11","ran11.hdr.54",-0.0018522
"11","ran11.hdr.55",-0.0035899
"11","ran11.hdr.56",-0.0042024
"11","ran11.hdr.57",-0.00072881
"11","ran11.hdr.58",-0.000344799999999999
"11","ran11.hdr.6",-0.0010596
"11","ran11.hdr.7",-0.000895699999999999
"11","ran11.hdr.8",-0.001156
"11","ran11.hdr.9",-0.0016362
"12","ran12.hdr.1",-0.0012775
"12","ran12.hdr.10",-0.000690100000000003
"12","ran12.hdr.11",-0.0033266
"12","ran12.hdr.12",-0.0027892
"12","ran12.hdr.13",-0.00156385
"12","ran12.hdr.14",-0.0012184
"12","ran12.hdr.15",-0.000493
"12","ran12.hdr.16",-0.0016329
"12","ran12.hdr.17",-0.00491908
"12","ran12.hdr.18",-0.0020298
"12","ran12.hdr.19",-0.0016572
"12","ran12.hdr.2",-0.0024967
"12","ran12.hdr.20",-0.0010196
"12","ran12.hdr.21",-0.000745279999999999
"12","ran12.hdr.22",-0.000547000000000002
"12","ran12.hdr.23",-0.000931100000000001
"12","ran12.hdr.24",-0.00140908
"12","ran12.hdr.25",-0.0013221
"12","ran12.hdr.26",-0.00330596
"12","ran12.hdr.27",-0.0016787
"12","ran12.hdr.28",NA
"12","ran12.hdr.29",-0.0017134
"12","ran12.hdr.3",-0.000920000000000001
"12","ran12.hdr.30",-0.000204200000000002
"12","ran12.hdr.31",-0.0016351
"12","ran12.hdr.32",-0.001106
"12","ran12.hdr.33",-0.000929199999999998
"12","ran12.hdr.34",-0.0018241
"12","ran12.hdr.35",-0.00107771
"12","ran12.hdr.36",-0.0022066
"12","ran12.hdr.37",-0.000373999999999999
"12","ran12.hdr.38",-0.00215336
"12","ran12.hdr.39",-0.0016305
"12","ran12.hdr.4",-0.0016597
"12","ran12.hdr.40",-0.0015866
"12","ran12.hdr.41",-0.001689
"12","ran12.hdr.42",-0.00349368
